"name","run.no.in.std.order","run.no","run.no.std.rp","input","batch","sim_time","insert_time","max_mem","platform"
"1","7",1,"7.1","small","D","","","",""
"2","15",2,"15.1","big","F","","","",""
"3","4",3,"4.1","small","C","","","",""
"4","10",4,"10.1","small","E","","","",""
"5","13",5,"13.1","small","F","","","",""
"6","11",6,"11.1","medium","E","","","",""
"7","9",7,"9.1","big","D","","","",""
"8","2",8,"2.1","medium","B","","","",""
"9","12",9,"12.1","big","E","","","",""
"10","14",10,"14.1","medium","F","","","",""
"11","6",11,"6.1","big","C","","","",""
"12","5",12,"5.1","medium","C","","","",""
"13","8",13,"8.1","medium","D","","","",""
"14","1",14,"1.1","small","B","","","",""
"15","3",15,"3.1","big","B","","","",""
"16","10",16,"10.2","small","E","","","",""
"17","8",17,"8.2","medium","D","","","",""
"18","12",18,"12.2","big","E","","","",""
"19","2",19,"2.2","medium","B","","","",""
"20","3",20,"3.2","big","B","","","",""
"21","9",21,"9.2","big","D","","","",""
"22","1",22,"1.2","small","B","","","",""
"23","4",23,"4.2","small","C","","","",""
"24","6",24,"6.2","big","C","","","",""
"25","5",25,"5.2","medium","C","","","",""
"26","11",26,"11.2","medium","E","","","",""
"27","14",27,"14.2","medium","F","","","",""
"28","13",28,"13.2","small","F","","","",""
"29","7",29,"7.2","small","D","","","",""
"30","15",30,"15.2","big","F","","","",""
"31","11",31,"11.3","medium","E","","","",""
"32","3",32,"3.3","big","B","","","",""
"33","12",33,"12.3","big","E","","","",""
"34","1",34,"1.3","small","B","","","",""
"35","13",35,"13.3","small","F","","","",""
"36","5",36,"5.3","medium","C","","","",""
"37","2",37,"2.3","medium","B","","","",""
"38","6",38,"6.3","big","C","","","",""
"39","9",39,"9.3","big","D","","","",""
"40","14",40,"14.3","medium","F","","","",""
"41","8",41,"8.3","medium","D","","","",""
"42","4",42,"4.3","small","C","","","",""
"43","10",43,"10.3","small","E","","","",""
"44","7",44,"7.3","small","D","","","",""
"45","15",45,"15.3","big","F","","","",""
"46","6",46,"6.4","big","C","","","",""
"47","9",47,"9.4","big","D","","","",""
"48","3",48,"3.4","big","B","","","",""
"49","8",49,"8.4","medium","D","","","",""
"50","15",50,"15.4","big","F","","","",""
"51","4",51,"4.4","small","C","","","",""
"52","7",52,"7.4","small","D","","","",""
"53","11",53,"11.4","medium","E","","","",""
"54","13",54,"13.4","small","F","","","",""
"55","5",55,"5.4","medium","C","","","",""
"56","1",56,"1.4","small","B","","","",""
"57","2",57,"2.4","medium","B","","","",""
"58","14",58,"14.4","medium","F","","","",""
"59","10",59,"10.4","small","E","","","",""
"60","12",60,"12.4","big","E","","","",""
"61","6",61,"6.5","big","C","","","",""
"62","2",62,"2.5","medium","B","","","",""
"63","12",63,"12.5","big","E","","","",""
"64","10",64,"10.5","small","E","","","",""
"65","9",65,"9.5","big","D","","","",""
"66","7",66,"7.5","small","D","","","",""
"67","11",67,"11.5","medium","E","","","",""
"68","8",68,"8.5","medium","D","","","",""
"69","1",69,"1.5","small","B","","","",""
"70","5",70,"5.5","medium","C","","","",""
"71","14",71,"14.5","medium","F","","","",""
"72","3",72,"3.5","big","B","","","",""
"73","13",73,"13.5","small","F","","","",""
"74","4",74,"4.5","small","C","","","",""
"75","15",75,"15.5","big","F","","","",""
"76","13",76,"13.6","small","F","","","",""
"77","8",77,"8.6","medium","D","","","",""
"78","2",78,"2.6","medium","B","","","",""
"79","9",79,"9.6","big","D","","","",""
"80","6",80,"6.6","big","C","","","",""
"81","7",81,"7.6","small","D","","","",""
"82","3",82,"3.6","big","B","","","",""
"83","4",83,"4.6","small","C","","","",""
"84","14",84,"14.6","medium","F","","","",""
"85","1",85,"1.6","small","B","","","",""
"86","15",86,"15.6","big","F","","","",""
"87","12",87,"12.6","big","E","","","",""
"88","5",88,"5.6","medium","C","","","",""
"89","10",89,"10.6","small","E","","","",""
"90","11",90,"11.6","medium","E","","","",""
"91","10",91,"10.7","small","E","","","",""
"92","6",92,"6.7","big","C","","","",""
"93","15",93,"15.7","big","F","","","",""
"94","9",94,"9.7","big","D","","","",""
"95","13",95,"13.7","small","F","","","",""
"96","7",96,"7.7","small","D","","","",""
"97","11",97,"11.7","medium","E","","","",""
"98","4",98,"4.7","small","C","","","",""
"99","14",99,"14.7","medium","F","","","",""
"100","2",100,"2.7","medium","B","","","",""
"101","12",101,"12.7","big","E","","","",""
"102","8",102,"8.7","medium","D","","","",""
"103","1",103,"1.7","small","B","","","",""
"104","5",104,"5.7","medium","C","","","",""
"105","3",105,"3.7","big","B","","","",""
"106","5",106,"5.8","medium","C","","","",""
"107","13",107,"13.8","small","F","","","",""
"108","14",108,"14.8","medium","F","","","",""
"109","4",109,"4.8","small","C","","","",""
"110","3",110,"3.8","big","B","","","",""
"111","1",111,"1.8","small","B","","","",""
"112","10",112,"10.8","small","E","","","",""
"113","12",113,"12.8","big","E","","","",""
"114","8",114,"8.8","medium","D","","","",""
"115","15",115,"15.8","big","F","","","",""
"116","11",116,"11.8","medium","E","","","",""
"117","9",117,"9.8","big","D","","","",""
"118","2",118,"2.8","medium","B","","","",""
"119","7",119,"7.8","small","D","","","",""
"120","6",120,"6.8","big","C","","","",""
"121","12",121,"12.9","big","E","","","",""
"122","13",122,"13.9","small","F","","","",""
"123","5",123,"5.9","medium","C","","","",""
"124","2",124,"2.9","medium","B","","","",""
"125","3",125,"3.9","big","B","","","",""
"126","9",126,"9.9","big","D","","","",""
"127","14",127,"14.9","medium","F","","","",""
"128","6",128,"6.9","big","C","","","",""
"129","15",129,"15.9","big","F","","","",""
"130","1",130,"1.9","small","B","","","",""
"131","8",131,"8.9","medium","D","","","",""
"132","11",132,"11.9","medium","E","","","",""
"133","7",133,"7.9","small","D","","","",""
"134","10",134,"10.9","small","E","","","",""
"135","4",135,"4.9","small","C","","","",""
"136","12",136,"12.10","big","E","","","",""
"137","6",137,"6.10","big","C","","","",""
