"name","run.no.in.std.order","run.no","run.no.std.rp","version","input","time","platform"
"1","4",1,"4.1","ayira","medium","",""
"2","9",2,"9.1","pjflex","big","",""
"3","2",3,"2.1","pj","small","",""
"4","5",4,"5.1","pj","medium","",""
"5","7",5,"7.1","ayira","big","",""
"6","6",6,"6.1","pjflex","medium","",""
"7","3",7,"3.1","pjflex","small","",""
"8","1",8,"1.1","ayira","small","",""
"9","8",9,"8.1","pj","big","",""
"10","6",10,"6.2","pjflex","medium","",""
"11","7",11,"7.2","ayira","big","",""
"12","8",12,"8.2","pj","big","",""
"13","4",13,"4.2","ayira","medium","",""
"14","3",14,"3.2","pjflex","small","",""
"15","5",15,"5.2","pj","medium","",""
"16","2",16,"2.2","pj","small","",""
"17","9",17,"9.2","pjflex","big","",""
"18","1",18,"1.2","ayira","small","",""
"19","2",19,"2.3","pj","small","",""
"20","9",20,"9.3","pjflex","big","",""
"21","6",21,"6.3","pjflex","medium","",""
"22","1",22,"1.3","ayira","small","",""
"23","3",23,"3.3","pjflex","small","",""
"24","4",24,"4.3","ayira","medium","",""
"25","5",25,"5.3","pj","medium","",""
"26","7",26,"7.3","ayira","big","",""
"27","8",27,"8.3","pj","big","",""
"28","6",28,"6.4","pjflex","medium","",""
"29","7",29,"7.4","ayira","big","",""
"30","5",30,"5.4","pj","medium","",""
"31","8",31,"8.4","pj","big","",""
"32","1",32,"1.4","ayira","small","",""
"33","4",33,"4.4","ayira","medium","",""
"34","9",34,"9.4","pjflex","big","",""
"35","3",35,"3.4","pjflex","small","",""
"36","2",36,"2.4","pj","small","",""
"37","2",37,"2.5","pj","small","",""
"38","6",38,"6.5","pjflex","medium","",""
"39","9",39,"9.5","pjflex","big","",""
"40","3",40,"3.5","pjflex","small","",""
"41","8",41,"8.5","pj","big","",""
"42","4",42,"4.5","ayira","medium","",""
"43","5",43,"5.5","pj","medium","",""
"44","7",44,"7.5","ayira","big","",""
"45","1",45,"1.5","ayira","small","",""
"46","4",46,"4.6","ayira","medium","",""
"47","5",47,"5.6","pj","medium","",""
"48","2",48,"2.6","pj","small","",""
"49","9",49,"9.6","pjflex","big","",""
"50","3",50,"3.6","pjflex","small","",""
"51","7",51,"7.6","ayira","big","",""
"52","8",52,"8.6","pj","big","",""
"53","6",53,"6.6","pjflex","medium","",""
"54","1",54,"1.6","ayira","small","",""
"55","7",55,"7.7","ayira","big","",""
"56","1",56,"1.7","ayira","small","",""
"57","2",57,"2.7","pj","small","",""
"58","5",58,"5.7","pj","medium","",""
"59","4",59,"4.7","ayira","medium","",""
"60","8",60,"8.7","pj","big","",""
"61","9",61,"9.7","pjflex","big","",""
"62","6",62,"6.7","pjflex","medium","",""
"63","3",63,"3.7","pjflex","small","",""
"64","8",64,"8.8","pj","big","",""
"65","7",65,"7.8","ayira","big","",""
"66","5",66,"5.8","pj","medium","",""
"67","6",67,"6.8","pjflex","medium","",""
"68","9",68,"9.8","pjflex","big","",""
"69","1",69,"1.8","ayira","small","",""
"70","3",70,"3.8","pjflex","small","",""
"71","4",71,"4.8","ayira","medium","",""
"72","2",72,"2.8","pj","small","",""
"73","3",73,"3.9","pjflex","small","",""
"74","4",74,"4.9","ayira","medium","",""
"75","5",75,"5.9","pj","medium","",""
"76","7",76,"7.9","ayira","big","",""
"77","9",77,"9.9","pjflex","big","",""
"78","1",78,"1.9","ayira","small","",""
"79","6",79,"6.9","pjflex","medium","",""
"80","2",80,"2.9","pj","small","",""
"81","8",81,"8.9","pj","big","",""
"82","3",82,"3.10","pjflex","small","",""
"83","4",83,"4.10","ayira","medium","",""
"84","8",84,"8.10","pj","big","",""
"85","1",85,"1.10","ayira","small","",""
"86","2",86,"2.10","pj","small","",""
"87","9",87,"9.10","pjflex","big","",""
"88","5",88,"5.10","pj","medium","",""
"89","7",89,"7.10","ayira","big","",""
"90","6",90,"6.10","pjflex","medium","",""
"91","6",91,"6.11","pjflex","medium","",""
"92","4",92,"4.11","ayira","medium","",""
"93","5",93,"5.11","pj","medium","",""
"94","7",94,"7.11","ayira","big","",""
"95","9",95,"9.11","pjflex","big","",""
"96","3",96,"3.11","pjflex","small","",""
"97","8",97,"8.11","pj","big","",""
"98","1",98,"1.11","ayira","small","",""
"99","2",99,"2.11","pj","small","",""
"100","3",100,"3.12","pjflex","small","",""
"101","4",101,"4.12","ayira","medium","",""
"102","7",102,"7.12","ayira","big","",""
"103","2",103,"2.12","pj","small","",""
"104","5",104,"5.12","pj","medium","",""
"105","6",105,"6.12","pjflex","medium","",""
"106","1",106,"1.12","ayira","small","",""
"107","8",107,"8.12","pj","big","",""
"108","9",108,"9.12","pjflex","big","",""
"109","3",109,"3.13","pjflex","small","",""
"110","2",110,"2.13","pj","small","",""
"111","1",111,"1.13","ayira","small","",""
"112","7",112,"7.13","ayira","big","",""
"113","9",113,"9.13","pjflex","big","",""
"114","8",114,"8.13","pj","big","",""
"115","5",115,"5.13","pj","medium","",""
"116","6",116,"6.13","pjflex","medium","",""
"117","4",117,"4.13","ayira","medium","",""
"118","4",118,"4.14","ayira","medium","",""
"119","2",119,"2.14","pj","small","",""
"120","1",120,"1.14","ayira","small","",""
"121","5",121,"5.14","pj","medium","",""
"122","6",122,"6.14","pjflex","medium","",""
"123","8",123,"8.14","pj","big","",""
"124","7",124,"7.14","ayira","big","",""
"125","3",125,"3.14","pjflex","small","",""
"126","9",126,"9.14","pjflex","big","",""
"127","5",127,"5.15","pj","medium","",""
"128","6",128,"6.15","pjflex","medium","",""
"129","2",129,"2.15","pj","small","",""
"130","1",130,"1.15","ayira","small","",""
"131","8",131,"8.15","pj","big","",""
"132","3",132,"3.15","pjflex","small","",""
"133","7",133,"7.15","ayira","big","",""
"134","9",134,"9.15","pjflex","big","",""
"135","4",135,"4.15","ayira","medium","",""
"136","7",136,"7.16","ayira","big","",""
"137","4",137,"4.16","ayira","medium","",""
"138","8",138,"8.16","pj","big","",""
"139","2",139,"2.16","pj","small","",""
"140","3",140,"3.16","pjflex","small","",""
"141","1",141,"1.16","ayira","small","",""
"142","5",142,"5.16","pj","medium","",""
"143","9",143,"9.16","pjflex","big","",""
"144","6",144,"6.16","pjflex","medium","",""
"145","2",145,"2.17","pj","small","",""
"146","4",146,"4.17","ayira","medium","",""
"147","9",147,"9.17","pjflex","big","",""
"148","1",148,"1.17","ayira","small","",""
"149","8",149,"8.17","pj","big","",""
"150","5",150,"5.17","pj","medium","",""
"151","6",151,"6.17","pjflex","medium","",""
"152","7",152,"7.17","ayira","big","",""
"153","3",153,"3.17","pjflex","small","",""
"154","5",154,"5.18","pj","medium","",""
"155","8",155,"8.18","pj","big","",""
"156","9",156,"9.18","pjflex","big","",""
"157","2",157,"2.18","pj","small","",""
"158","3",158,"3.18","pjflex","small","",""
"159","6",159,"6.18","pjflex","medium","",""
"160","7",160,"7.18","ayira","big","",""
"161","4",161,"4.18","ayira","medium","",""
"162","1",162,"1.18","ayira","small","",""
"163","7",163,"7.19","ayira","big","",""
"164","3",164,"3.19","pjflex","small","",""
"165","2",165,"2.19","pj","small","",""
"166","6",166,"6.19","pjflex","medium","",""
"167","5",167,"5.19","pj","medium","",""
"168","9",168,"9.19","pjflex","big","",""
"169","4",169,"4.19","ayira","medium","",""
"170","8",170,"8.19","pj","big","",""
"171","1",171,"1.19","ayira","small","",""
"172","3",172,"3.20","pjflex","small","",""
"173","7",173,"7.20","ayira","big","",""
"174","2",174,"2.20","pj","small","",""
"175","1",175,"1.20","ayira","small","",""
