"name","run.no.in.std.order","run.no","run.no.std.rp","input","batch","sim_time","insert_time","max_mem","platform"
"1","7",1,"7.1","small","D",983336,202030,3222720,orion1
"2","15",2,"15.1","big","F",950015134,401292651,269839752,orion1
"3","4",3,"4.1","small","C",872588,227659,3383752,orion1
"4","10",4,"10.1","small","E",1231774,256816,3151360,orion1
"5","13",5,"13.1","small","F",1633785,285011,3114128,orion1
"6","11",6,"11.1","medium","E",93070116,52138141,71003408,orion1
"7","9",7,"9.1","big","D",1024033211,395973475,1070151392,orion1
"8","2",8,"2.1","medium","B",107111605,52805283,553417376,orion1
"9","12",9,"12.1","big","E",1002442701,396415515,538095888,orion1
"10","14",10,"14.1","medium","F",110124960,51425899,36805552,orion1
"11","6",11,"6.1","big","C",1062619386,393623046,2140641768,orion1
"12","5",12,"5.1","medium","C",111805318,52575751,277503320,orion1
"13","8",13,"8.1","medium","D",117090233,53219693,139769608,orion1
"14","1",14,"1.1","small","B",749986,175000,3678520,orion1
"15","3",15,"3.1","big","B",1105274623,394107681,4284406360,orion1
"16","10",16,"10.2","small","E",1206140,235015,3151360,orion1
"17","8",17,"8.2","medium","D",116522255,52512523,139770560,orion1
"18","12",18,"12.2","big","E",994773311,400020274,538095888,orion1
"19","2",19,"2.2","medium","B",106544296,50981910,553417376,orion1
"20","3",20,"3.2","big","B",1107992675,391633533,4284406360,orion1
"21","9",21,"9.2","big","D",1015397787,387708293,1070151392,orion1
"22","1",22,"1.2","small","B",731653,163944,3678704,orion1
"23","4",23,"4.2","small","C",816415,180081,3383752,orion1
"24","6",24,"6.2","big","C",1053767656,388719430,2140641864,orion1
"25","5",25,"5.2","medium","C",111076363,51995526,277503160,orion1
"26","11",26,"11.2","medium","E",92005813,50903895,71003408,orion1
"27","14",27,"14.2","medium","F",107867200,49882922,36805456,orion1
"28","13",28,"13.2","small","F",1717867,286690,3114208,orion1
"29","7",29,"7.2","small","D",1030447,231119,3222816,orion1
"30","15",30,"15.2","big","F",947404127,394193153,269839752,orion1
"31","11",31,"11.3","medium","E",107394642,50687761,71003408,orion1
"32","3",32,"3.3","big","B",1093514578,390339680,4284406288,orion1
"33","12",33,"12.3","big","E",1007406357,406924739,538095888,orion1
"34","1",34,"1.3","small","B",732445,165155,3678520,orion1
"35","13",35,"13.3","small","F",1668807,276416,3114112,orion1
"36","5",36,"5.3","medium","C",112804974,53828166,277503136,orion1
"37","2",37,"2.3","medium","B",110047257,54915452,553417376,orion1
"38","6",38,"6.3","big","C",1067095773,402131805,2140641784,orion1
"39","9",39,"9.3","big","D",1037701027,402531059,1070151368,orion1
"40","14",40,"14.3","medium","F",110876909,52105798,36805480,orion1
"41","8",41,"8.3","medium","D",117779738,53263988,139769608,orion1
"42","4",42,"4.3","small","C",837441,192500,3383752,orion1
"43","10",43,"10.3","small","E",1236264,262079,3151544,orion1
"44","7",44,"7.3","small","D",979750,189807,3222744,orion1
"45","15",45,"15.3","big","F",948853875,398085167,269839752,orion1
"46","6",46,"6.4","big","C",1062602776,398218083,2140641792,orion1
"47","9",47,"9.4","big","D",1030834772,397486339,1070151368,orion1
"48","3",48,"3.4","big","B",1111977512,397873756,4284406288,orion1
"49","8",49,"8.4","medium","D",119542391,53637678,139769608,orion1
"50","15",50,"15.4","big","F",938889825,395749957,269839776,orion1
"51","4",51,"4.4","small","C",858739,202696,3383672,orion1
"52","7",52,"7.4","small","D",1000517,230107,3222720,orion1
"53","11",53,"11.4","medium","E",93223473,52232887,71003408,orion1
"54","13",54,"13.4","small","F",1699620,317246,3114296,orion1
"55","5",55,"5.4","medium","C",110557110,52036860,277503152,orion1
"56","1",56,"1.4","small","B",718106,165618,3678520,orion1
"57","2",57,"2.4","medium","B",98759284,51893586,553417400,orion1
"58","14",58,"14.4","medium","F",109879575,50641691,36805456,orion1
"59","10",59,"10.4","small","E",1270142,319482,3151360,orion1
"60","12",60,"12.4","big","E",997285140,394357634,538095984,orion1
"61","6",61,"6.5","big","C",1067446261,396751362,2140641800,orion1
"62","2",62,"2.5","medium","B",108203928,52633166,553417376,orion1
"63","12",63,"12.5","big","E",988016025,395371391,538095904,orion1
"64","10",64,"10.5","small","E",1242523,270162,3151360,orion1
"65","9",65,"9.5","big","D",1027404874,393650091,1070151368,orion1
"66","7",66,"7.5","small","D",966147,207445,3222720,orion1
"67","11",67,"11.5","medium","E",91966360,51138884,71003408,orion1
"68","8",68,"8.5","medium","D",116879511,52739975,139769792,orion1
"69","1",69,"1.5","small","B",769779,188777,3678520,orion1
"70","5",70,"5.5","medium","C",110159287,51901245,277503152,orion1
"71","14",71,"14.5","medium","F",108818107,51270317,36806240,orion1
"72","3",72,"3.5","big","B",1105743923,393149344,4284406448,orion1
"73","13",73,"13.5","small","F",1717720,283751,3114216,orion1
"74","4",74,"4.5","small","C",911066,194359,3383656,orion1
"75","15",75,"15.5","big","F",948487563,395241445,269839752,orion1
"76","13",76,"13.6","small","F",1647699,297072,3114208,orion1
"77","8",77,"8.6","medium","D",116912045,51862670,139769608,orion1
"78","2",78,"2.6","medium","B",108883264,53305468,553417560,orion1
"79","9",79,"9.6","big","D",1024678925,394703481,1070151480,orion1
"80","6",80,"6.6","big","C",1060315885,394898102,2140641768,orion1
"81","7",81,"7.6","small","D",959780,211194,3222904,orion1
"82","3",82,"3.6","big","B",1105661299,395227326,4284406376,orion1
"83","4",83,"4.6","small","C",859091,212523,3383840,orion1
"84","14",84,"14.6","medium","F",109696439,51089073,36805456,orion1
"85","1",85,"1.6","small","B",794292,210335,3678520,orion1
"86","15",86,"15.6","big","F",940575881,395302153,269839752,orion1
"87","12",87,"12.6","big","E",991862426,394841299,538095984,orion1
"88","5",88,"5.6","medium","C",112334123,52379944,277503136,orion1
"89","10",89,"10.6","small","E",1274132,256319,3151360,orion1
"90","11",90,"11.6","medium","E",108103729,51699714,71003504,orion1
"91","10",91,"10.7","small","E",1225031,258701,3151360,orion1
"92","6",92,"6.7","big","C",1063657197,396157299,2140641792,orion1
"93","15",93,"15.7","big","F",951814415,401916177,269839752,orion1
"94","9",94,"9.7","big","D",1027608693,399285296,1070151464,orion1
"95","13",95,"13.7","small","F",1683592,300142,3114112,orion1
"96","7",96,"7.7","small","D",987705,218205,3222720,orion1
"97","11",97,"11.7","medium","E",95428647,53348995,71003432,orion1
"98","4",98,"4.7","small","C",832544,187339,3383656,orion1
"99","14",99,"14.7","medium","F",110794482,51231215,36806240,orion1
"100","2",100,"2.7","medium","B",104926761,52256819,553417560,orion1
