"name","run.no.in.std.order","run.no","run.no.std.rp","input","batch","sim_time","insert_time","max_mem","platform"
"1","7",1,"7.1","small","D",1977549,1367572,3223648,guarani
"2","15",2,"15.1","big","F",808547815,524050177,269840408,guarani
"3","4",3,"4.1","small","C",2346436,1833535,3384624,guarani
"4","10",4,"10.1","small","E",2539559,1835741,4788024,guarani
"5","13",5,"13.1","small","F",3815750,2854051,3114888,guarani
"6","11",6,"11.1","medium","E",99211871,68003143,71004640,guarani
"7","9",7,"9.1","big","D",853890820,537347286,1070151840,guarani
"8","2",8,"2.1","medium","B",108531705,72048651,553416744,guarani
"9","12",9,"12.1","big","E",828732678,536896714,538096448,guarani
"10","14",10,"14.1","medium","F",99642955,68895567,36806776,guarani
"11","6",11,"6.1","big","C",873037865,536552629,2140641320,guarani
"12","5",12,"5.1","medium","C",103931126,72009501,277502584,guarani
"13","8",13,"8.1","medium","D",106257999,72253348,139770840,guarani
"14","1",14,"1.1","small","B",2178104,1748624,3679480,guarani
"15","3",15,"3.1","big","B",NA,NA,NA,guarani
"16","10",16,"10.2","small","E",2355582,1665066,3152328,guarani
"17","8",17,"8.2","medium","D",102976474,70120817,139771024,guarani
"18","12",18,"12.2","big","E",819787545,524864844,538096360,guarani
"19","2",19,"2.2","medium","B",111949555,75135174,553416744,guarani
"20","3",20,"3.2","big","B",NA,NA,NA,guarani
"21","9",21,"9.2","big","D",854682279,543216330,1070152024,guarani
"22","1",22,"1.2","small","B",2122246,1704617,3679296,guarani
"23","4",23,"4.2","small","C",2104673,1605219,3384624,guarani
"24","6",24,"6.2","big","C",868189048,531267304,2140641136,guarani
"25","5",25,"5.2","medium","C",103637451,71584004,277502680,guarani
"26","11",26,"11.2","medium","E",100954981,70230041,71004824,guarani
"27","14",27,"14.2","medium","F",97233054,66584248,36806688,guarani
"28","13",28,"13.2","small","F",3572839,2580512,3114888,guarani
"29","7",29,"7.2","small","D",2254125,1661573,3223592,guarani
"30","15",30,"15.2","big","F",805909247,523805960,269840320,guarani
"31","11",31,"11.3","medium","E",101906401,70710479,71004824,guarani
"32","3",32,"3.3","big","B",NA,NA,NA,guarani
"33","12",33,"12.3","big","E",824818076,529583505,538096360,guarani
"34","1",34,"1.3","small","B",2195899,1781679,3679480,guarani
"35","13",35,"13.3","small","F",3707955,2716278,3115072,guarani
"36","5",36,"5.3","medium","C",102201723,70424227,277502584,guarani
"37","2",37,"2.3","medium","B",105282585,69272518,553416744,guarani
"38","6",38,"6.3","big","C",870695488,531178847,2140641224,guarani
"39","9",39,"9.3","big","D",851716583,538982512,1070151840,guarani
"40","14",40,"14.3","medium","F",97695215,66847165,36806688,guarani
"41","8",41,"8.3","medium","D",103108180,69261648,139770840,guarani
"42","4",42,"4.3","small","C",1802627,1337436,3384440,guarani
"43","10",43,"10.3","small","E",2648143,1939618,3152328,guarani
"44","7",44,"7.3","small","D",2029945,1432310,3223504,guarani
"45","15",45,"15.3","big","F",807440264,523133846,269840224,guarani
"46","6",46,"6.4","big","C",873374089,532965906,2140641136,guarani
"47","9",47,"9.4","big","D",844997765,535775121,1070151840,guarani
"48","3",48,"3.4","big","B",NA,NA,NA,guarani
"49","8",49,"8.4","medium","D",108259977,74411999,139770840,guarani
"50","15",50,"15.4","big","F",813198696,531100554,269840224,guarani
"51","4",51,"4.4","small","C",2094649,1633572,3384440,guarani
"52","7",52,"7.4","small","D",2563266,1953914,3223648,guarani
"53","11",53,"11.4","medium","E",101289709,70468213,71004728,guarani
"54","13",54,"13.4","small","F",3599402,2641697,3114888,guarani
"55","5",55,"5.4","medium","C",104003189,71917062,277502496,guarani
"56","1",56,"1.4","small","B",2220736,1794200,3679480,guarani
"57","2",57,"2.4","medium","B",110370114,73458424,553416928,guarani
"58","14",58,"14.4","medium","F",96091672,65648127,36806688,guarani
"59","10",59,"10.4","small","E",2537297,1821318,3152144,guarani
"60","12",60,"12.4","big","E",816848431,522604165,538096544,guarani
"61","6",61,"6.5","big","C",874627117,537941581,2140641320,guarani
"62","2",62,"2.5","medium","B",110543099,74082453,553416928,guarani
"63","12",63,"12.5","big","E",820573026,527190594,538096360,guarani
"64","10",64,"10.5","small","E",2885881,2150411,3152104,guarani
"65","9",65,"9.5","big","D",847213515,534344830,1070151840,guarani
"66","7",66,"7.5","small","D",2672851,2042733,3223648,guarani
"67","11",67,"11.5","medium","E",101114016,70515888,71004640,guarani
"68","8",68,"8.5","medium","D",102390946,69047733,139770840,guarani
"69","1",69,"1.5","small","B",2354791,1914558,3679296,guarani
"70","5",70,"5.5","medium","C",105379819,73396675,277502680,guarani
"71","14",71,"14.5","medium","F",98367650,67989729,36806872,guarani
"72","3",72,"3.5","big","B",NA,NA,NA,guarani
"73","13",73,"13.5","small","F",3349388,2367039,3114888,guarani
"74","4",74,"4.5","small","C",1762815,1268015,3384440,guarani
"75","15",75,"15.5","big","F",812085392,527245368,269840408,guarani
"76","13",76,"13.6","small","F",3798370,2886162,3114976,guarani
"77","8",77,"8.6","medium","D",106810489,73117896,139771024,guarani
"78","2",78,"2.6","medium","B",109357089,73076627,553416744,guarani
"79","9",79,"9.6","big","D",842151656,530160835,1070151928,guarani
"80","6",80,"6.6","big","C",880207529,540551829,2140641136,guarani
"81","7",81,"7.6","small","D",2338311,1743676,3223592,guarani
"82","3",82,"3.6","big","B",NA,NA,NA,guarani
"83","4",83,"4.6","small","C",2660355,2170326,3384624,guarani
"84","14",84,"14.6","medium","F",96355107,65824992,36806688,guarani
"85","1",85,"1.6","small","B",2206009,1776480,3679296,guarani
