"name","run.no.in.std.order","run.no","run.no.std.rp","input","batch","sim_time","insert_time","max_mem","platform"
"1","7",1,"7.1","small","D",611389,181552,3223368,remote
"2","15",2,"15.1","big","F",892591213,611179022,269839328,remote
"3","4",3,"4.1","small","C",594197,174051,3384120,remote
"4","10",4,"10.1","small","E",702920,197738,3152008,remote
"5","13",5,"13.1","small","F",894497,243593,3114568,remote
"6","11",6,"11.1","medium","E",108341375,78121814,71003744,remote
"7","9",7,"9.1","big","D",915048366,608057017,1070150752,remote
"8","2",8,"2.1","medium","B",115231345,79876578,553416768,remote
"9","12",9,"12.1","big","E",893483744,605757959,538095456,remote
"10","14",10,"14.1","medium","F",106100266,75652587,36805600,remote
"11","6",11,"6.1","big","C",934664627,600753729,2140641336,remote
"12","5",12,"5.1","medium","C",108334893,77247704,277502520,remote
"13","8",13,"8.1","medium","D",110307307,77635759,139769760,remote
"14","1",14,"1.1","small","B",591554,171834,3678976,remote
"15","3",15,"3.1","big","B",NA,NA,NA,remote
"16","10",16,"10.2","small","E",727288,211401,3151824,remote
"17","8",17,"8.2","medium","D",109977261,77116308,139769760,remote
"18","12",18,"12.2","big","E",894994584,603480765,538095272,remote
"19","2",19,"2.2","medium","B",116204024,81062268,553416768,remote
"20","3",20,"3.2","big","B",NA,NA,NA,remote
"21","9",21,"9.2","big","D",908393947,602690557,1070150752,remote
"22","1",22,"1.2","small","B",570586,175423,3678976,remote
"23","4",23,"4.2","small","C",619269,178418,3384304,remote
"24","6",24,"6.2","big","C",927289788,592265028,2140641152,remote
"25","5",25,"5.2","medium","C",110048156,78859149,277502520,remote
"26","11",26,"11.2","medium","E",107455307,77061395,71003560,remote
"27","14",27,"14.2","medium","F",107391913,77133775,36805600,remote
"28","13",28,"13.2","small","F",948932,283553,3114656,remote
"29","7",29,"7.2","small","D",697423,211521,3223368,remote
"30","15",30,"15.2","big","F",881876857,600359500,269839144,remote
"31","11",31,"11.3","medium","E",106187374,76617413,71003744,remote
"32","3",32,"3.3","big","B",NA,NA,NA,remote
"33","12",33,"12.3","big","E",900578226,610870055,538095272,remote
"34","1",34,"1.3","small","B",560858,180632,3678976,remote
"35","13",35,"13.3","small","F",890203,238936,3114568,remote
"36","5",36,"5.3","medium","C",110811225,79644216,277502704,remote
"37","2",37,"2.3","medium","B",112849267,77057537,553416952,remote
"38","6",38,"6.3","big","C",933411673,603009952,2140641152,remote
"39","9",39,"9.3","big","D",906529265,602457037,1070150752,remote
"40","14",40,"14.3","medium","F",106236299,75584346,36805784,remote
"41","8",41,"8.3","medium","D",112624946,79083033,139769848,remote
"42","4",42,"4.3","small","C",601106,176359,3384080,remote
"43","10",43,"10.3","small","E",664677,185049,3151824,remote
"44","7",44,"7.3","small","D",601158,180360,3223184,remote
"45","15",45,"15.3","big","F",881156336,600559122,269839328,remote
"46","6",46,"6.4","big","C",928888712,595290524,2140641152,remote
"47","9",47,"9.4","big","D",907087147,598448049,1070150752,remote
"48","3",48,"3.4","big","B",NA,NA,NA,remote
"49","8",49,"8.4","medium","D",112812633,79654296,139769944,remote
"50","15",50,"15.4","big","F",892996977,610492146,269839232,remote
"51","4",51,"4.4","small","C",663550,200783,3384120,remote
"52","7",52,"7.4","small","D",595524,180450,3223184,remote
"53","11",53,"11.4","medium","E",106919725,77123944,71003744,remote
"54","13",54,"13.4","small","F",899171,262450,3114656,remote
"55","5",55,"5.4","medium","C",108544415,77484280,277502520,remote
