BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,95495,105337,9842,170,6056
2,149575,158372,8797,170,6263
3,195888,204954,9066,170,6262
4,234646,247499,12853,170,6261
5,276563,285192,8629,170,6263
6,310013,318218,8205,170,6324
7,348431,357737,9306,170,6600
8,382914,412220,29306,170,6605
9,433483,441556,8073,170,6602
10,462724,472309,9585,170,6600
11,491067,499348,8281,170,6593
12,518097,525352,7255,170,6604
13,544499,551830,7331,170,6605
14,573682,583421,9739,170,6597
15,602675,610366,7691,170,6602
16,630952,636212,5260,170,6596
17,649702,651854,2152,8,794
