BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,394717,472418,77701,170,6056
2,538615,572053,33438,170,6263
3,615319,689049,73730,170,6262
4,723735,1034192,310457,170,6261
5,1086234,1149658,63424,170,6263
6,1194593,1325071,130478,170,6324
7,1382322,1441803,59481,170,6600
8,1484493,1550380,65887,170,6605
9,1583266,1608808,25542,170,6602
10,1646042,1842862,196820,170,6600
11,1872449,1976328,103879,170,6593
12,2009167,2093293,84126,170,6604
13,2127670,2160003,32333,170,6605
14,2194456,2327333,132877,170,6597
15,2359937,2385601,25664,170,6602
16,2414287,2444020,29733,170,6596
17,2507225,2535800,28575,8,794
