BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,117907,127780,9873,170,6056
2,178801,187632,8831,170,6263
3,229316,238595,9279,170,6262
4,267930,283441,15511,170,6261
5,311948,322357,10409,170,6263
6,350787,360217,9430,170,6324
7,391179,400707,9528,170,6600
8,426025,433782,7757,170,6605
9,459606,469300,9694,170,6602
10,490200,497862,7662,170,6600
11,516773,524032,7259,170,6593
12,542854,552658,9804,170,6604
13,572105,580031,7926,170,6605
14,598359,606702,8343,170,6597
15,625430,633488,8058,170,6602
16,651250,656540,5290,170,6596
17,669509,679413,9904,8,794
