BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,91178,101985,10807,170,6056
2,155316,163127,7811,170,6263
3,202350,209968,7618,170,6262
4,240089,252012,11923,170,6261
5,284520,293032,8512,170,6263
6,321007,327839,6832,170,6324
7,350393,357267,6874,170,6600
8,383321,389369,6048,170,6605
9,409761,415398,5637,170,6602
10,435297,441609,6312,170,6600
11,459123,464121,4998,170,6593
12,483560,489117,5557,170,6604
13,507376,513972,6596,170,6605
14,532440,538650,6210,170,6597
15,558338,563415,5077,170,6602
16,581815,587440,5625,170,6596
17,598031,599656,1625,8,794
