BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,363365,599091,235726,85,3200
2,656651,682309,25658,85,3374
3,725863,757233,31370,85,3390
4,784589,816563,31974,85,3391
5,856830,882642,25812,85,3391
6,917561,974583,57022,85,3389
7,1001524,1032698,31174,85,3387
8,1066130,1191639,125509,85,3392
9,1225244,1283469,58225,85,3392
10,1311883,1408904,97021,85,3389
11,1437071,1584098,147027,85,3397
12,1617682,1742916,125234,85,3445
13,1777981,1834728,56747,85,3555
14,1866992,1893079,26087,85,3563
15,1919846,1951532,31686,85,3560
16,1975106,2043480,68374,85,3563
17,2068707,2101859,33152,85,3565
18,2125884,2160386,34502,85,3555
19,2188394,2226951,38557,85,3561
20,2254658,2620798,366140,85,3557
21,2646531,2679023,32492,85,3559
22,2702853,2737452,34599,85,3552
23,2762016,2795856,33840,85,3572
24,2819681,2925626,105945,85,3550
25,2950465,2979605,29140,85,3560
26,2999954,3037917,37963,85,3563
27,3062620,3129852,67232,85,3553
28,3154793,3288632,133839,85,3562
29,3314600,3347017,32417,85,3561
30,3371336,3405449,34113,85,3559
31,3430410,3463780,33370,85,3558
32,3487594,3588986,101392,85,3556
33,3671317,3706023,34706,8,794
