BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,92171,98628,6457,85,3200
2,135907,141715,5808,85,3374
3,180271,186221,5950,85,3390
4,208773,216920,8147,85,3391
5,241123,246785,5662,85,3391
6,267803,278637,10834,85,3389
7,302740,309463,6723,85,3387
8,331127,337388,6261,85,3392
9,356119,362890,6771,85,3392
10,380000,385553,5553,85,3389
11,402631,412038,9407,85,3397
12,429764,435679,5915,85,3445
13,459914,465415,5501,85,3555
14,488868,494648,5780,85,3563
15,510613,514770,4157,85,3560
16,531123,536899,5776,85,3563
17,553032,558762,5730,85,3565
18,573689,579479,5790,85,3555
19,594941,598802,3861,85,3561
20,614168,620273,6105,85,3557
21,634496,639995,5499,85,3559
22,653936,657648,3712,85,3552
23,671428,677270,5842,85,3572
24,691381,695090,3709,85,3550
25,709178,715324,6146,85,3560
26,729071,732937,3866,85,3563
27,746775,753373,6598,85,3553
28,767685,774083,6398,85,3562
29,788866,794924,6058,85,3561
30,810493,814105,3612,85,3559
31,827718,834093,6375,85,3558
32,847951,851678,3727,85,3556
33,868018,874466,6448,8,794
