BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,69619,76860,7241,85,3200
2,114789,119805,5016,85,3374
3,152865,157885,5020,85,3390
4,184042,191031,6989,85,3391
5,215559,220775,5216,85,3391
6,245015,250035,5020,85,3389
7,268745,273682,4937,85,3387
8,295244,301263,6019,85,3392
9,318946,323740,4794,85,3392
10,339545,343183,3638,85,3389
11,359338,362948,3610,85,3397
12,378431,384883,6452,85,3445
13,402535,407341,4806,85,3555
14,423117,426704,3587,85,3563
15,441529,445217,3688,85,3560
16,460073,463936,3863,85,3563
17,478745,482261,3516,85,3565
18,496487,500139,3652,85,3555
19,514368,517748,3380,85,3561
20,532566,536892,4326,85,3557
21,550012,553435,3423,85,3559
22,568531,572071,3540,85,3552
23,586503,589583,3080,85,3572
24,602435,606026,3591,85,3550
25,618939,623247,4308,85,3560
26,638098,641251,3153,85,3563
27,654295,658620,4325,85,3553
28,671196,676000,4804,85,3562
29,691794,695072,3278,85,3561
30,708118,711243,3125,85,3559
31,725729,729980,4251,85,3558
32,743190,747708,4518,85,3556
33,760134,761856,1722,8,794
