BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,142822,154516,11694,85,3200
2,231593,239330,7737,85,3374
3,293053,323098,30045,85,3390
4,365848,378160,12312,85,3391
5,430839,441015,10176,85,3391
6,491131,502237,11106,85,3389
7,546828,554898,8070,85,3387
8,602611,614464,11853,85,3392
9,655581,663014,7433,85,3392
10,703990,713387,9397,85,3389
11,757548,765403,7855,85,3397
12,808996,818153,9157,85,3445
13,860310,868033,7723,85,3555
14,915137,925029,9892,85,3563
15,962430,971651,9221,85,3560
16,999702,1006542,6840,85,3563
17,1044675,1052526,7851,85,3565
18,1091878,1099142,7264,85,3555
19,1135690,1142213,6523,85,3561
20,1181037,1185324,4287,85,3557
21,1222311,1231654,9343,85,3559
22,1266626,1275726,9100,85,3552
23,1312922,1319550,6628,85,3572
24,1359198,1369445,10247,85,3550
25,1405658,1410673,5015,85,3560
26,1444887,1453393,8506,85,3563
27,1491074,1496162,5088,85,3553
28,1533194,1543990,10796,85,3562
29,1586729,1590288,3559,85,3561
30,1624377,1634187,9810,85,3559
31,1671614,1675341,3727,85,3558
32,1707884,1719057,11173,85,3556
33,1749667,1752097,2430,8,794
