BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,168449,179342,10893,85,3200
2,258388,265646,7258,85,3374
3,321492,330275,8783,85,3390
4,371882,383664,11782,85,3391
5,436151,444981,8830,85,3391
6,490583,497589,7006,85,3389
7,533819,543062,9243,85,3387
8,596286,603305,7019,85,3392
9,645861,653844,7983,85,3392
10,696483,705185,8702,85,3389
11,744881,752659,7778,85,3397
12,791828,800652,8824,85,3445
13,839399,847581,8182,85,3555
14,887309,895079,7770,85,3563
15,933854,940263,6409,85,3560
16,971831,977660,5829,85,3563
17,1010308,1019026,8718,85,3565
18,1055789,1061088,5299,85,3555
19,1092799,1099029,6230,85,3561
20,1137977,1144246,6269,85,3557
21,1176380,1186248,9868,85,3559
22,1221927,1225237,3310,85,3552
23,1258955,1265113,6158,85,3572
24,1303680,1308722,5042,85,3550
25,1345190,1355333,10143,85,3560
26,1390288,1400444,10156,85,3563
27,1437383,1442615,5232,85,3553
28,1477329,1485943,8614,85,3562
29,1528456,1533682,5226,85,3561
30,1570148,1592281,22133,85,3559
31,1627176,1639028,11852,85,3558
32,1675360,1680282,4922,85,3556
33,1712963,1715372,2409,8,794
