BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,88386,95595,7209,85,3200
2,132888,139092,6204,85,3374
3,174137,203222,29085,85,3390
4,231527,241380,9853,85,3391
5,273935,280812,6877,85,3391
6,303033,309619,6586,85,3389
7,331219,338596,7377,85,3387
8,360354,380386,20032,85,3392
9,399199,405849,6650,85,3392
10,422745,438964,16219,85,3389
11,458159,466776,8617,85,3397
12,484524,491375,6851,85,3445
13,511476,518099,6623,85,3555
14,538100,542898,4798,85,3563
15,569103,575639,6536,85,3560
16,593885,600754,6869,85,3563
17,619587,626279,6692,85,3565
18,643105,650072,6967,85,3555
19,666457,673644,7187,85,3561
20,692228,696709,4481,85,3557
21,711768,718078,6310,85,3559
22,732946,739988,7042,85,3552
23,753780,758023,4243,85,3572
24,772178,779385,7207,85,3550
25,793166,800871,7705,85,3560
26,815518,819755,4237,85,3563
27,833789,841887,8098,85,3553
28,856284,860684,4400,85,3562
29,874539,878741,4202,85,3561
30,893178,901363,8185,85,3559
31,914779,919051,4272,85,3558
32,932346,943160,10814,85,3556
33,959731,961875,2144,8,794
