BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,89236,96237,7001,85,3200
2,134929,141157,6228,85,3374
3,175776,182341,6565,85,3390
4,203752,212817,9065,85,3391
5,239933,246492,6559,85,3391
6,267369,274173,6804,85,3389
7,296447,303242,6795,85,3387
8,324793,332940,8147,85,3392
9,351501,358141,6640,85,3392
10,374964,382960,7996,85,3389
11,399735,406412,6677,85,3397
12,426409,433543,7134,85,3445
13,455712,462694,6982,85,3555
14,482722,487313,4591,85,3563
15,503667,510053,6386,85,3560
16,525380,532376,6996,85,3563
17,547953,556279,8326,85,3565
18,571074,578089,7015,85,3555
19,593154,600219,7065,85,3561
20,617372,623157,5785,85,3557
21,637013,643740,6727,85,3559
22,657543,665039,7496,85,3552
23,678984,683164,4180,85,3572
24,697207,706856,9649,85,3550
25,720505,724741,4236,85,3560
26,738540,748735,10195,85,3563
27,763220,773936,10716,85,3553
28,789942,798109,8167,85,3562
29,812847,820576,7729,85,3561
30,835675,840100,4425,85,3559
31,853498,857889,4391,85,3558
32,871293,882623,11330,85,3556
33,895843,898042,2199,8,794
