BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2489683,9637131,7147448,157914,6059433
2,11728173,16767347,5039174,157914,6281758
3,18734141,22878954,4144813,157914,6281949
4,24730068,28661950,3931882,157914,6281815
5,30525598,34594892,4069294,157914,6282369
6,36388645,39976869,3588224,157914,6282285
7,42352980,46282697,3929717,157914,6492828
8,48308010,52349041,4041031,157914,6597889
9,54123897,58207980,4084083,157914,6597683
10,60132176,64630079,4497903,157914,6597963
11,66400985,70894210,4493225,157914,6597618
12,72740295,76848951,4108656,157914,6597655
13,78690302,82678656,3988354,157914,6597841
14,84516341,88764930,4248589,157914,6597860
15,90536410,95046973,4510563,157914,6597791
16,96959233,101109593,4150360,157914,6598306
17,101197460,101287949,90489,5,711
