BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2191387,6459299,4267912,157914,6059433
2,8518508,12473336,3954828,157914,6281758
3,14479117,18289044,3809927,157914,6281949
4,20107494,24087821,3980327,157914,6281815
5,25956454,29823221,3866767,157914,6282369
6,31706874,35469043,3762169,157914,6282285
7,37537800,41412873,3875073,157914,6492828
8,43341139,47245314,3904175,157914,6597889
9,49018084,53132843,4114759,157914,6597683
10,55090441,59119675,4029234,157914,6597963
11,60989936,64905376,3915440,157914,6597618
12,66647978,70625623,3977645,157914,6597655
13,72403442,76391541,3988099,157914,6597841
14,78160021,82176137,4016116,157914,6597860
15,83942066,87860394,3918328,157914,6597791
16,89742685,93684955,3942270,157914,6598306
17,93717440,93719781,2341,5,711
