BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2401038,5986259,3585221,157914,6059433
2,8072955,11537763,3464808,157914,6281758
3,13446467,16891487,3445020,157914,6281949
4,18575167,22050006,3474839,157914,6281815
5,23898875,27374652,3475777,157914,6282369
6,29010059,32506615,3496556,157914,6282285
7,34456518,38012402,3555884,157914,6492828
8,39900810,43469196,3568386,157914,6597889
9,45690508,49270635,3580127,157914,6597683
10,51647572,55255369,3607797,157914,6597963
11,57405680,60969083,3563403,157914,6597618
12,62530313,66118507,3588194,157914,6597655
13,68261696,71856932,3595236,157914,6597841
14,74009600,77640890,3631290,157914,6597860
15,79831524,83459238,3627714,157914,6597791
16,85747021,89352353,3605332,157914,6598306
17,89364145,89365780,1635,5,711
