BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,3444684,6978082,3533398,157914,6059433
2,10588044,13761069,3173025,157914,6281758
3,17753824,20860758,3106934,157914,6281949
4,24168567,27226825,3058258,157914,6281815
5,30727237,33751781,3024544,157914,6282369
6,37246902,40333218,3086316,157914,6282285
7,43954988,47049215,3094227,157914,6492828
8,50716295,53832699,3116404,157914,6597889
9,57249642,60439297,3189655,157914,6597683
10,64151421,67557024,3405603,157914,6597963
11,71008072,74184912,3176840,157914,6597618
12,77596614,80863665,3267051,157914,6597655
13,84236192,87410563,3174371,157914,6597841
14,90898599,94124674,3226075,157914,6597860
15,97609213,100784208,3174995,157914,6597791
16,104421865,107609385,3187520,157914,6598306
17,107664330,107671870,7540,5,711
