BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,3353163,6858427,3505264,157914,6059433
2,10608837,13873391,3264554,157914,6281758
3,17505866,20621858,3115992,157914,6281949
4,24041421,27401174,3359753,157914,6281815
5,30956585,34072167,3115582,157914,6282369
6,37737522,40956367,3218845,157914,6282285
7,42883499,46259859,3376360,157914,6492828
8,48206532,51444903,3238371,157914,6597889
9,55001559,58297534,3295975,157914,6597683
10,60408924,63601518,3192594,157914,6597963
11,65191658,68390409,3198751,157914,6597618
12,70060343,73444070,3383727,157914,6597655
13,75077304,78267419,3190115,157914,6597841
14,79900252,83171429,3271177,157914,6597860
15,84784274,87995742,3211468,157914,6597791
16,89915342,93183680,3268338,157914,6598306
17,93216221,93220578,4357,5,711
