BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2252236,7471088,5218852,157914,6059433
2,9517622,14387613,4869991,157914,6281758
3,16388229,21125532,4737303,157914,6281949
4,22908199,27592770,4684571,157914,6281815
5,29450318,34046062,4595744,157914,6282369
6,35919170,40647041,4727871,157914,6282285
7,42654829,47417382,4762553,157914,6492828
8,49359790,54218075,4858285,157914,6597889
9,55984489,60981271,4996782,157914,6597683
10,62888839,67842308,4953469,157914,6597963
11,69615593,74709027,5093434,157914,6597618
12,76479056,81323567,4844511,157914,6597655
13,83105127,88029221,4924094,157914,6597841
14,89804558,94722728,4918170,157914,6597860
15,96490739,101598870,5108131,157914,6597791
16,103502523,108310748,4808225,157914,6598306
17,108337540,108339652,2112,5,711
