BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2174456,7241614,5067158,157914,6059433
2,9299028,13978549,4679521,157914,6281758
3,15838018,20543399,4705381,157914,6281949
4,22252739,26918746,4666007,157914,6281815
5,28701450,33315518,4614068,157914,6282369
6,35079565,39763590,4684025,157914,6282285
7,41667060,46425043,4757983,157914,6492828
8,48332279,53126985,4794706,157914,6597889
9,54890767,59748814,4858047,157914,6597683
10,61653270,66513903,4860633,157914,6597963
11,68268716,73118190,4849474,157914,6597618
12,74898479,79703197,4804718,157914,6597655
13,81475083,86353485,4878402,157914,6597841
14,88118045,92911567,4793522,157914,6597860
15,94677575,99431568,4753993,157914,6597791
16,101327153,106155729,4828576,157914,6598306
17,106183036,106185653,2617,5,711
