BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,1417806,3562806,2145000,78957,2960759
2,4628321,6548403,1920082,78957,3099192
3,7617421,9462436,1845015,78957,3141173
4,10534156,12371552,1837396,78957,3141103
5,13292972,15099095,1806123,78957,3141296
6,16061234,17922066,1860832,78957,3141171
7,18778908,20630928,1852020,78957,3141239
8,21572179,23418248,1846069,78957,3141094
9,24263511,26050611,1787100,78957,3141376
10,26910815,28772062,1861247,78957,3141511
11,29620067,31431152,1811085,78957,3141402
12,32279081,34142257,1863176,78957,3141401
13,35188621,37061841,1873220,78957,3194087
14,38101014,40010791,1909777,78957,3299259
15,40993475,42849617,1856142,78957,3299299
16,43780184,45720952,1940768,78957,3299108
17,46658541,48581009,1922468,78957,3299123
18,49513924,51403942,1890018,78957,3299078
19,52405659,54304564,1898905,78957,3299388
20,55266451,57164521,1898070,78957,3299093
21,58105392,60012008,1906616,78957,3298909
22,60903973,62810432,1906459,78957,3299227
23,63767161,65691357,1924196,78957,3299183
24,66624297,68547196,1922899,78957,3298990
25,69473148,71389867,1916719,78957,3299094
26,72318074,74220531,1902457,78957,3299265
27,75194569,77097549,1902980,78957,3299148
28,78038784,79912638,1873854,78957,3299230
29,80816487,82800847,1984360,78957,3299219
30,83736559,85602662,1866103,78957,3299090
31,86604282,88498704,1894422,78957,3299343
32,89501539,91423278,1921739,78957,3299481
33,91447646,91449890,2244,5,711
