BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,1729993,6372725,4642732,78957,2960759
2,7373278,9981444,2608166,78957,3099192
3,11047280,13375640,2328360,78957,3141173
4,14452810,16426086,1973276,78957,3141103
5,17331953,19230173,1898220,78957,3141296
6,20196096,22077317,1881221,78957,3141171
7,22945636,25118386,2172750,78957,3141239
8,26072942,27752878,1679936,78957,3141094
9,28592778,30427729,1834951,78957,3141376
10,31268819,33084293,1815474,78957,3141511
11,33929395,35610583,1681188,78957,3141402
12,36458513,38279726,1821213,78957,3141401
13,39292191,41061409,1769218,78957,3194087
14,42070592,44000190,1929598,78957,3299259
15,44989355,47000062,2010707,78957,3299299
16,47913698,49805057,1891359,78957,3299108
17,50720841,52725140,2004299,78957,3299123
18,53634884,55276916,1642032,78957,3299078
19,56272047,57916705,1644658,78957,3299388
20,58892113,60906001,2013888,78957,3299093
21,61858816,63902780,2043964,78957,3298909
22,64802713,66828298,2025585,78957,3299227
23,67769586,69863513,2093927,78957,3299183
24,70790148,72859105,2068957,78957,3298990
25,73781817,75549517,1767700,78957,3299094
26,76435544,78538269,2102725,78957,3299265
27,79501551,81745797,2244246,78957,3299148
28,82682841,84782227,2099386,78957,3299230
29,85717436,87891182,2173746,78957,3299219
30,88822915,90707439,1884524,78957,3299090
31,91692000,93943476,2251476,78957,3299343
32,94933666,97114449,2180783,78957,3299481
33,97199340,97231449,32109,5,711
