BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,1417098,3624529,2207431,78957,2960759
2,4640526,6604029,1963503,78957,3099192
3,7574958,9459322,1884364,78957,3141173
4,10522772,12383610,1860838,78957,3141103
5,13298998,15132135,1833137,78957,3141296
6,16083597,17968901,1885304,78957,3141171
7,18818522,20687348,1868826,78957,3141239
8,21604672,23462706,1858034,78957,3141094
9,24302074,26155712,1853638,78957,3141376
10,27002883,28819997,1817114,78957,3141511
11,29661656,31610254,1948598,78957,3141402
12,32449196,34291247,1842051,78957,3141401
13,35322822,37231919,1909097,78957,3194087
14,38240245,40194110,1953865,78957,3299259
15,41197658,43152070,1954412,78957,3299299
16,44073177,46018698,1945521,78957,3299108
17,46947783,48871561,1923778,78957,3299123
18,49789399,51711935,1922536,78957,3299078
19,52710448,54624871,1914423,78957,3299388
20,55568919,57540724,1971805,78957,3299093
21,58481712,60372367,1890655,78957,3298909
22,61278642,63193319,1914677,78957,3299227
23,64134051,66050742,1916691,78957,3299183
24,66972957,68902149,1929192,78957,3298990
25,69821672,71803411,1981739,78957,3299094
26,72717344,74656943,1939599,78957,3299265
27,75617042,77536315,1919273,78957,3299148
28,78481628,80452816,1971188,78957,3299230
29,81373684,83335545,1961861,78957,3299219
30,84248094,86153390,1905296,78957,3299090
31,87135110,89055218,1920108,78957,3299343
32,90038480,91978082,1939602,78957,3299481
33,92004906,92007106,2200,5,711
