BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,1592896,3428443,1835547,78957,2960759
2,4355538,6015619,1660081,78957,3099192
3,7037882,8677307,1639425,78957,3141173
4,9550209,11216419,1666210,78957,3141103
5,12079836,13742961,1663125,78957,3141296
6,14499761,16161894,1662133,78957,3141171
7,16970227,18646702,1676475,78957,3141239
8,19420419,21083943,1663524,78957,3141094
9,21835711,23523502,1687791,78957,3141376
10,24291774,25978355,1686581,78957,3141511
11,26733679,28362836,1629157,78957,3141402
12,29134314,30783310,1648996,78957,3141401
13,31706975,33429938,1722963,78957,3194087
14,34356461,36090886,1734425,78957,3299259
15,36992891,38697537,1704646,78957,3299299
16,39503083,41227821,1724738,78957,3299108
17,42064799,43790211,1725412,78957,3299123
18,44618648,46326937,1708289,78957,3299078
19,47209404,48902088,1692684,78957,3299388
20,49736958,51496605,1759647,78957,3299093
21,52334428,54050604,1716176,78957,3298909
22,54881372,56586967,1705595,78957,3299227
23,57398823,59086520,1687697,78957,3299183
24,59904936,61621325,1716389,78957,3298990
25,62454382,64168648,1714266,78957,3299094
26,65005818,66710193,1704375,78957,3299265
27,67547912,69256268,1708356,78957,3299148
28,70071596,71761091,1689495,78957,3299230
29,72601035,74337348,1736313,78957,3299219
30,75162844,76900917,1738073,78957,3299090
31,77785514,79478744,1693230,78957,3299343
32,80378360,82110464,1732104,78957,3299481
33,82126854,82128537,1683,5,711
