BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,15995049,52801159,36806110,1223170,48879695
2,70727177,105203998,34476821,1223170,51101669
3,123290808,156053991,32763183,1223170,51101842
4,173316982,206743255,33426273,1223170,51101574
5,224560258,258367070,33806812,1223170,51101296
6,277340209,310773543,33433334,1223170,51103156
7,327961625,361902983,33941358,1223170,51068888
8,380153018,412973368,32820350,1223170,50866147
9,432811649,466449459,33637810,1223170,56922704
10,486745354,518607571,31862217,1223170,58207424
11,538367795,571519908,33152113,1223170,58206579
12,590305974,624065735,33759761,1223170,58206279
13,642929459,674982872,32053413,1223170,58205566
14,694048890,728177021,34128131,1223170,58061685
15,745911696,777726586,31814890,1223170,57701308
16,795956684,827928583,31971899,1223170,57700116
17,828025674,828056486,30812,3,643
