BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,15622082,44897208,29275126,1223170,48879695
2,62823232,92675605,29852373,1223170,51101669
3,110742866,140489005,29746139,1223170,51101842
4,157729047,187433962,29704915,1223170,51101574
5,205485756,235310988,29825232,1223170,51101296
6,253391482,283187846,29796364,1223170,51103156
7,300657843,330367577,29709734,1223170,51068888
8,347785046,377565596,29780550,1223170,50866147
9,399103665,428869262,29765597,1223170,56922704
10,448808918,478586669,29777751,1223170,58207424
11,498454937,528122978,29668041,1223170,58206579
12,546902623,576567628,29665005,1223170,58206279
13,595534525,625299125,29764600,1223170,58205566
14,644438834,674367937,29929103,1223170,58061685
15,692553729,722125993,29572264,1223170,57701308
16,740103058,769866499,29763441,1223170,57700116
17,769901046,769903396,2350,3,643
