BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,16451259,42433466,25982207,1223170,48879695
2,62557555,89135579,26578024,1223170,51101669
3,107730012,134267459,26537447,1223170,51101842
4,152148058,178760721,26612663,1223170,51101574
5,196433589,222869659,26436070,1223170,51101296
6,241831263,268363827,26532564,1223170,51103156
7,285429545,311879633,26450088,1223170,51068888
8,329641358,356197727,26556369,1223170,50866147
9,376226063,402187674,25961611,1223170,56922704
10,421997505,448055560,26058055,1223170,58207424
11,468508107,494366444,25858337,1223170,58206579
12,513408663,539200878,25792215,1223170,58206279
13,557965554,583795329,25829775,1223170,58205566
14,602712097,628591046,25878949,1223170,58061685
15,646497585,672230272,25732687,1223170,57701308
16,690500566,716451189,25950623,1223170,57700116
17,716472715,716475066,2351,3,643
