BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,17641829,42552520,24910691,1223170,48879695
2,77048800,102017609,24968809,1223170,51101669
3,140249213,165276136,25026923,1223170,51101842
4,202028415,227354181,25325766,1223170,51101574
5,265021428,290084777,25063349,1223170,51101296
6,330211442,355229019,25017577,1223170,51103156
7,393331460,418601106,25269646,1223170,51068888
8,455608260,480551813,24943553,1223170,50866147
9,521926252,546225400,24299148,1223170,56922704
10,588799944,612991173,24191229,1223170,58207424
11,655507316,679666719,24159403,1223170,58206579
12,720307089,744688281,24381192,1223170,58206279
13,784574032,808743378,24169346,1223170,58205566
14,848701396,872825732,24124336,1223170,58061685
15,910970512,935220816,24250304,1223170,57701308
16,973013823,997237627,24223804,1223170,57700116
17,997278996,997282193,3197,3,643
