BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,15238786,52727101,37488315,1223170,48879695
2,70312684,108639353,38326669,1223170,51101669
3,126467255,164122009,37654754,1223170,51101842
4,181133987,218815643,37681656,1223170,51101574
5,236492905,274126894,37633989,1223170,51101296
6,291704409,329242292,37537883,1223170,51103156
7,346687107,384123351,37436244,1223170,51068888
8,401273995,438691020,37417025,1223170,50866147
9,459398243,496837322,37439079,1223170,56922704
10,516738662,554026290,37287628,1223170,58207424
11,573758948,610820642,37061694,1223170,58206579
12,629413483,666458938,37045455,1223170,58206279
13,685458860,722689951,37231091,1223170,58205566
14,742658713,779802480,37143767,1223170,58061685
15,798008014,835037312,37029298,1223170,57701308
16,852788193,889868010,37079817,1223170,57700116
17,889915668,889918153,2485,3,643
