BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,6638804,21838972,15200168,611585,24105036
2,29318260,44054221,14735961,611585,24775177
3,52941826,68188880,15247054,611585,25550958
4,77062306,92335009,15272703,611585,25551229
5,101057096,116245884,15188788,611585,25551465
6,124363021,139595300,15232279,611585,25550895
7,147641587,162874118,15232531,611585,25551498
8,170986349,186231885,15245536,611585,25550594
9,194698318,209873629,15175311,611585,25550757
10,217979302,233203933,15224631,611585,25551057
11,242400297,257618073,15217776,611585,25551883
12,265728646,280842762,15114116,611585,25551791
13,289332319,304576454,15244135,611585,25551023
14,313239619,328516303,15276684,611585,25518383
15,337152017,352244678,15092661,611585,25433023
16,360859833,376109203,15249370,611585,25433642
17,386346145,401528170,15182025,611585,27819945
18,411269976,426447417,15177441,611585,29103277
19,435741496,450928481,15186985,611585,29103356
20,460299173,475428757,15129584,611585,29104586
21,485214025,500265426,15051401,611585,29103057
22,509620312,524647704,15027392,611585,29104040
23,534469395,549610347,15140952,611585,29103410
24,559177609,574304523,15126914,611585,29103387
25,584194505,599283860,15089355,611585,29103318
26,608835971,624019428,15183457,611585,29102766
27,634010895,649064963,15054068,611585,29102933
28,658461984,673500244,15038260,611585,28959270
29,682177593,697286365,15108772,611585,28851427
30,706118558,721253799,15135241,611585,28850399
31,730237882,745222531,14984649,611585,28850080
32,754181990,769119850,14937860,611585,28850554
33,769147712,769150114,2402,3,643
