BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,7200050,25717018,18516968,611585,24105036
2,33187322,48455229,15267907,611585,24775177
3,56783223,73301003,16517780,611585,25550958
4,82217081,97997394,15780313,611585,25551229
5,106794112,123083564,16289452,611585,25551465
6,131422592,146741619,15319027,611585,25550895
7,155175762,171651239,16475477,611585,25551498
8,179886293,196956348,17070055,611585,25550594
9,205768841,222003045,16234204,611585,25550757
10,230296365,246680754,16384389,611585,25551057
11,255666953,271927587,16260634,611585,25551883
12,280303735,297884764,17581029,611585,25551791
13,306280961,322986941,16705980,611585,25551023
14,331308526,348390240,17081714,611585,25518383
15,356829868,374215032,17385164,611585,25433023
16,382517896,398608861,16090965,611585,25433642
17,408527104,424834134,16307030,611585,27819945
18,435160885,451272591,16111706,611585,29103277
19,460591358,475847267,15255909,611585,29103356
20,485528576,502141113,16612537,611585,29104586
21,512173235,528280398,16107163,611585,29103057
22,537774726,553923450,16148724,611585,29104040
23,563474695,578885869,15411174,611585,29103410
24,588475117,605062047,16586930,611585,29103387
25,614466303,629873246,15406943,611585,29103318
26,639590509,656122816,16532307,611585,29102766
27,666135013,681751570,15616557,611585,29102933
28,691004392,707201132,16196740,611585,28959270
29,715812461,732201925,16389464,611585,28851427
30,740909045,757453764,16544719,611585,28850399
31,766379647,782852066,16472419,611585,28850080
32,791591217,807309175,15717958,611585,28850554
33,807380966,807438597,57631,3,643
