BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,6510771,21915720,15404949,611585,24105036
2,29247728,44043054,14795326,611585,24775177
3,52350395,67821854,15471459,611585,25550958
4,76709387,91829136,15119749,611585,25551229
5,100758047,115729005,14970958,611585,25551465
6,124055096,139139895,15084799,611585,25550895
7,147555599,162677787,15122188,611585,25551498
8,170939435,185970031,15030596,611585,25550594
9,194772312,209858233,15085921,611585,25550757
10,218124870,233163282,15038412,611585,25551057
11,242212813,257125660,14912847,611585,25551883
12,265702315,280788408,15086093,611585,25551791
13,288993861,304122674,15128813,611585,25551023
14,312386053,327528035,15141982,611585,25518383
15,336089292,351121325,15032033,611585,25433023
16,359456699,374698638,15241939,611585,25433642
17,384722498,399597365,14874867,611585,27819945
18,409351336,424396832,15045496,611585,29103277
19,433739586,448791090,15051504,611585,29103356
20,458071949,473114608,15042659,611585,29104586
21,483009931,498137436,15127505,611585,29103057
22,507656685,522597253,14940568,611585,29104040
23,532288114,547306768,15018654,611585,29103410
24,557109538,572217400,15107862,611585,29103387
25,581768622,596770728,15002106,611585,29103318
26,606375699,621174650,14798951,611585,29102766
27,630822770,645923726,15100956,611585,29102933
28,655319647,670323418,15003771,611585,28959270
29,678920354,693878441,14958087,611585,28851427
30,702455646,717427029,14971383,611585,28850399
31,726296730,741295590,14998860,611585,28850080
32,750237293,765265933,15028640,611585,28850554
33,765297421,765299668,2247,3,643
