BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,7624391,21460593,13836202,611585,24105036
2,29524698,43126579,13601881,611585,24775177
3,52061056,66069859,14008803,611585,25550958
4,74991668,88983421,13991753,611585,25551229
5,97906009,111828454,13922445,611585,25551465
6,120508131,134446277,13938146,611585,25550895
7,143435118,157234660,13799542,611585,25551498
8,166021589,180168162,14146573,611585,25550594
9,188745434,202593397,13847963,611585,25550757
10,211467475,225397316,13929841,611585,25551057
11,234729108,248739051,14009943,611585,25551883
12,257298229,271323364,14025135,611585,25551791
13,279972653,294043803,14071150,611585,25551023
14,303209937,317100109,13890172,611585,25518383
15,326055377,340019628,13964251,611585,25433023
16,348944273,362863676,13919403,611585,25433642
17,373126302,386745313,13619011,611585,27819945
18,397053267,410543625,13490358,611585,29103277
19,420293881,433811368,13517487,611585,29103356
20,443671271,457290883,13619612,611585,29104586
21,467136077,480830512,13694435,611585,29103057
22,490977696,504499241,13521545,611585,29104040
23,514354015,528134561,13780546,611585,29103410
24,537921740,551584737,13662997,611585,29103387
25,561501082,575002526,13501444,611585,29103318
26,584828430,598424062,13595632,611585,29102766
27,608263481,622062842,13799361,611585,29102933
28,631543234,645116859,13573625,611585,28959270
29,654443876,667931708,13487832,611585,28851427
30,677302381,690870183,13567802,611585,28850399
31,700178398,713601884,13423486,611585,28850080
32,722893525,736264750,13371225,611585,28850554
33,736279876,736282141,2265,3,643
