BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,8937270,21572372,12635102,611585,24105036
2,36694328,48868158,12173830,611585,24775177
3,64411490,76882332,12470842,611585,25550958
4,94968496,107366883,12398387,611585,25551229
5,126161651,138682115,12520464,611585,25551465
6,155520600,167930015,12409415,611585,25550895
7,184622516,197225708,12603192,611585,25551498
8,214170535,226945550,12775015,611585,25550594
9,243854074,256501295,12647221,611585,25550757
10,273168525,285637535,12469010,611585,25551057
11,302965038,315475446,12510408,611585,25551883
12,332335991,344965816,12629825,611585,25551791
13,361544718,374111586,12566868,611585,25551023
14,390713133,403179197,12466064,611585,25518383
15,420106487,432758831,12652344,611585,25433023
16,449297740,461874295,12576555,611585,25433642
17,481100232,493576639,12476407,611585,27819945
18,511125750,523115218,11989468,611585,29103277
19,540635017,552661325,12026308,611585,29103356
20,570232225,582548014,12315789,611585,29104586
21,600210067,612241533,12031466,611585,29103057
22,629989644,642051495,12061851,611585,29104040
23,659570984,671500893,11929909,611585,29103410
24,689179308,701175438,11996130,611585,29103387
25,718934683,730934510,11999827,611585,29103318
26,748657769,761038865,12381096,611585,29102766
27,778503301,790376244,11872943,611585,29102933
28,808131849,820431227,12299378,611585,28959270
29,838093629,849976622,11882993,611585,28851427
30,867409854,879596639,12186785,611585,28850399
31,896968560,909125966,12157406,611585,28850080
32,926518820,938820071,12301251,611585,28850554
33,938859583,938862782,3199,3,643
