BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,6345679,25596677,19250998,611585,24105036
2,32719321,51284423,18565102,611585,24775177
3,59249447,78277742,19028295,611585,25550958
4,87031354,106104858,19073504,611585,25551229
5,114736414,133564023,18827609,611585,25551465
6,141716219,160581834,18865615,611585,25550895
7,168864049,187694556,18830507,611585,25551498
8,195870132,214688000,18817868,611585,25550594
9,223284911,242292864,19007953,611585,25550757
10,250520264,269357687,18837423,611585,25551057
11,278274395,297245746,18971351,611585,25551883
12,305646951,324413098,18766147,611585,25551791
13,332704368,351563598,18859230,611585,25551023
14,359784547,378583572,18799025,611585,25518383
15,387017995,406122743,19104748,611585,25433023
16,414305393,433196400,18891007,611585,25433642
17,442984880,461653205,18668325,611585,27819945
18,471215105,489902246,18687141,611585,29103277
19,499019850,517661737,18641887,611585,29103356
20,526942539,545550965,18608426,611585,29104586
21,555265536,573939581,18674045,611585,29103057
22,583083367,601693861,18610494,611585,29104040
23,611196340,629887698,18691358,611585,29103410
24,639517794,658034643,18516849,611585,29103387
25,667585033,686235694,18650661,611585,29103318
26,695890542,714496626,18606084,611585,29102766
27,724023822,742677217,18653395,611585,29102933
28,751911262,770610104,18698842,611585,28959270
29,779068249,797646884,18578635,611585,28851427
30,806086008,824693290,18607282,611585,28850399
31,833411765,852013231,18601466,611585,28850080
32,860712150,879439152,18727002,611585,28850554
33,879469744,879472263,2519,3,643
