"name","run.no.in.std.order","run.no","run.no.std.rp","version","input","time","platform"
"1","4",1,"4.1","aiyra","medium", 9719632,mac
"2","9",2,"9.1","pjflex","big",223.726514,mac
"3","2",3,"2.1","pj","small",0.026933,mac
"4","5",4,"5.1","pj","medium",24.976759,mac
"5","7",5,"7.1","aiyra","big", 84443938,mac
"6","6",6,"6.1","pjflex","medium",26.504725,mac
"7","3",7,"3.1","pjflex","small",0.026795,mac
"8","1",8,"1.1","aiyra","small", 195533,mac
"9","8",9,"8.1","pj","big",210.838656,mac
"10","6",10,"6.2","pjflex","medium",28.686003,mac
"11","7",11,"7.2","aiyra","big", 87122963,mac
"12","8",12,"8.2","pj","big",211.262966,mac
"13","4",13,"4.2","aiyra","medium", 9634283,mac
"14","3",14,"3.2","pjflex","small",0.025485,mac
"15","5",15,"5.2","pj","medium",25.358721,mac
"16","2",16,"2.2","pj","small",0.026127,mac
